City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bengkulu,ID,2021-11-05 02:22:37,-3.8004,102.2655,76.87,89,100,4.14
68,Cascais,PT,2021-11-05 02:14:13,38.6979,-9.4215,55.51,70,0,1.99
69,Buraydah,SA,2021-11-05 02:12:47,26.326,43.975,65.19,49,0,7.78
70,Barrow,US,2021-11-05 02:12:38,71.2906,-156.7887,17.62,73,1,18.41
71,Manavalakurichi,IN,2021-11-05 02:17:26,8.1333,77.3,78.89,83,100,3.6
72,Buala,SB,2021-11-05 02:14:01,-8.145,159.5921,84.02,70,93,7.02
73,Santa Cruz,BO,2021-11-05 02:15:03,-17.8,-63.1667,78.26,73,98,8.05
74,Aksu,CN,2021-11-05 02:22:38,41.1231,80.2644,37.81,23,76,7.09
75,Port Hardy,CA,2021-11-05 02:13:21,50.6996,-127.4199,49.66,86,100,3.24
76,Port Blair,IN,2021-11-05 02:13:49,11.6667,92.75,82.94,71,99,6.38
77,Ahipara,NZ,2021-11-05 02:17:26,-35.1667,173.1667,62.04,88,99,10.02
78,Broome,US,2021-11-05 02:14:03,42.2506,-75.833,36.01,73,1,1.99
79,New Norfolk,AU,2021-11-05 02:22:39,-42.7826,147.0587,72.72,36,0,1.99
80,Grindavik,IS,2021-11-05 02:13:08,63.8424,-22.4338,41.47,81,75,17.27
81,Ryotsu,JP,2021-11-05 02:17:27,38.0833,138.4333,58.96,62,2,4.07
82,Saldanha,ZA,2021-11-05 02:22:39,-33.0117,17.9442,57.25,86,100,13.69
83,Zwedru,LR,2021-11-05 02:17:27,6.0667,-8.1281,71.64,99,73,0.81
84,Hofn,IS,2021-11-05 02:14:33,64.2539,-15.2082,40.17,61,63,6.26
85,Bluff,NZ,2021-11-05 02:22:40,-46.6,168.3333,59.81,67,100,11.59
86,Waingapu,ID,2021-11-05 02:17:28,-9.6567,120.2641,88.93,59,100,9.48
87,Kaitangata,NZ,2021-11-05 02:22:40,-46.2817,169.8464,57.92,62,95,7.54
88,Ambilobe,MG,2021-11-05 02:17:28,-13.2,49.05,71.44,86,45,2.3
89,La Libertad,EC,2021-11-05 02:17:28,-2.2333,-80.9,70.36,81,98,7.27
90,Kenai,US,2021-11-05 02:12:36,60.5544,-151.2583,34.09,96,90,5.75
91,Luderitz,NA,2021-11-05 02:13:31,-26.6481,15.1594,58.28,77,20,15.14
92,Kawambwa,ZM,2021-11-05 02:17:28,-9.7915,29.0791,65.17,86,77,1.45
93,Marsh Harbour,BS,2021-11-05 02:13:43,26.5412,-77.0636,77.56,66,100,7.52
94,Matagami,CA,2021-11-05 02:17:29,49.7502,-77.6328,28.51,74,90,5.75
95,Biltine,TD,2021-11-05 02:17:29,14.5333,20.9167,79.84,20,100,9.13
96,Victoria,HK,2021-11-05 02:09:40,22.2855,114.1577,82.96,85,14,1.99
97,Redmond,US,2021-11-05 02:13:56,47.674,-122.1215,53.22,85,100,10.0
98,Kavieng,PG,2021-11-05 02:13:40,-2.5744,150.7967,84.94,62,100,15.3
99,Tasiilaq,GL,2021-11-05 02:12:48,65.6145,-37.6368,17.29,87,35,4.61
100,Aubel,BE,2021-11-05 02:17:30,50.7019,5.8581,45.32,99,94,3.58
101,Talcahuano,CL,2021-11-05 02:17:30,-36.7167,-73.1167,51.48,71,0,16.11
102,Yellowknife,CA,2021-11-05 02:22:41,62.456,-114.3525,31.41,99,90,6.91
103,Kuryk,KZ,2021-11-05 02:17:30,43.2,51.65,37.06,26,100,20.78
104,Kitale,KE,2021-11-05 02:17:30,1.0157,35.0062,53.87,85,5,1.45
105,Kodiak,US,2021-11-05 02:13:29,57.79,-152.4072,38.71,70,1,6.91
106,Zaysan,KZ,2021-11-05 02:13:26,47.4667,84.8667,5.54,68,0,4.79
107,Zhangjiakou,CN,2021-11-05 02:15:28,40.81,114.8794,49.33,45,77,3.15
108,Trat,TH,2021-11-05 02:17:31,12.5,102.5,88.0,83,96,3.8
109,Lebanon,US,2021-11-05 02:17:31,36.2081,-86.2911,44.65,81,20,0.0
110,Kapaa,US,2021-11-05 02:22:42,22.0752,-159.319,82.38,75,75,5.01
111,Genhe,CN,2021-11-05 02:13:04,50.7833,121.5167,23.81,37,100,9.17
112,Nikolskoye,RU,2021-11-05 02:22:42,59.7035,30.7861,44.87,89,100,9.04
113,Hermanus,ZA,2021-11-05 02:18:57,-34.4187,19.2345,59.9,85,100,7.34
114,Avarua,CK,2021-11-05 02:12:54,-21.2078,-159.775,78.85,65,17,14.97
115,Chapais,CA,2021-11-05 02:14:20,49.7834,-74.8492,24.58,80,66,5.1
116,Mahajanga,MG,2021-11-05 02:17:32,-15.7167,46.3167,78.82,83,20,5.75
117,Santa Rita,BR,2021-11-05 02:17:33,-7.1139,-34.9781,79.47,83,40,4.61
118,Camana,PE,2021-11-05 02:17:33,-16.6228,-72.7111,64.63,83,77,6.87
119,Coihaique,CL,2021-11-05 02:14:07,-45.5752,-72.0662,48.15,61,0,5.75
120,Novikovo,RU,2021-11-05 02:17:33,51.1537,37.8879,46.6,97,70,6.91
121,Tacuarembo,UY,2021-11-05 02:17:34,-31.7333,-55.9833,64.17,92,0,4.0
122,Houma,US,2021-11-05 02:16:17,29.5958,-90.7195,60.8,81,100,8.01
123,Lubao,PH,2021-11-05 02:17:34,14.9167,120.55,87.87,64,17,8.9
124,Guerrero Negro,MX,2021-11-05 02:17:34,27.9769,-114.0611,65.59,87,0,10.0
125,Severo-Kurilsk,RU,2021-11-05 02:22:43,50.6789,156.125,38.23,71,100,4.9
126,Nouadhibou,MR,2021-11-05 02:22:43,20.931,-17.0347,67.98,83,100,13.8
127,Pisco,PE,2021-11-05 02:19:51,-13.7,-76.2167,64.45,82,0,11.5
128,Airai,TL,2021-11-05 02:22:43,-8.9266,125.4092,78.13,41,68,2.73
129,Aklavik,CA,2021-11-05 02:13:42,68.2191,-135.0107,12.07,97,74,2.8
130,Ballina,AU,2021-11-05 02:17:35,-28.8667,153.5667,68.18,83,100,10.36
131,Remedios,CU,2021-11-05 02:17:35,22.4947,-79.5458,74.32,77,100,7.65
132,Puerto Escondido,MX,2021-11-05 02:17:35,15.85,-97.0667,78.84,79,48,2.44
133,Rock Springs,US,2021-11-05 02:17:36,41.5875,-109.2029,47.64,53,1,8.05
134,Leningradskiy,RU,2021-11-05 02:22:44,69.3833,178.4167,-8.79,95,81,5.37
135,Arica,CL,2021-11-05 02:17:36,-18.475,-70.3042,62.83,77,20,3.44
136,Port Alfred,ZA,2021-11-05 02:22:44,-33.5906,26.891,64.74,87,95,6.08
137,Ilulissat,GL,2021-11-05 02:12:44,69.2167,-51.1,28.42,80,75,8.05
138,North Bend,US,2021-11-05 02:13:20,43.4065,-124.2243,54.86,93,90,9.22
139,Praia,CV,2021-11-05 02:15:12,14.9215,-23.5087,75.74,73,0,4.61
140,Lang Suan,TH,2021-11-05 02:17:36,9.9456,99.0785,80.69,78,99,4.54
141,Curup,ID,2021-11-05 02:17:37,-3.4667,102.5333,70.77,96,100,2.8
142,Butaritari,KI,2021-11-05 02:22:45,3.0707,172.7902,82.26,74,7,15.64
143,Guangyuan,CN,2021-11-05 02:17:37,32.442,105.823,58.5,88,100,1.19
144,Parkersburg,US,2021-11-05 02:16:18,39.2667,-81.5615,37.0,79,1,0.0
145,Narsaq,GL,2021-11-05 02:12:46,60.9167,-46.05,32.22,96,98,5.46
146,Anloga,GH,2021-11-05 02:17:37,5.7947,0.8973,80.94,80,96,8.93
147,Pevek,RU,2021-11-05 02:13:17,69.7008,170.3133,-6.39,92,100,6.93
148,Mount Gambier,AU,2021-11-05 02:14:34,-37.8333,140.7667,73.53,29,75,3.09
149,Cherskiy,RU,2021-11-05 02:13:30,68.75,161.3,-9.36,98,85,5.7
150,Say,NE,2021-11-05 02:17:38,13.1007,2.3689,84.76,32,0,1.16
151,Lebu,CL,2021-11-05 02:12:47,-37.6167,-73.65,50.88,75,0,22.53
152,Husavik,IS,2021-11-05 02:22:46,66.0449,-17.3389,33.71,90,98,6.6
153,Berbera,SO,2021-11-05 02:17:38,10.4396,45.0143,80.08,55,21,7.61
154,Lorengau,PG,2021-11-05 02:22:46,-2.0226,147.2712,84.31,68,100,11.99
155,Palaikastron,GR,2021-11-05 02:17:39,35.2,26.25,69.69,68,8,1.68
156,Longyearbyen,SJ,2021-11-05 02:13:10,78.2186,15.6401,19.24,79,75,9.22
157,Iquique,CL,2021-11-05 02:17:39,-20.2208,-70.1431,62.64,76,16,2.64
158,Lac Du Bonnet,CA,2021-11-05 02:17:39,50.2536,-96.0612,36.72,88,54,8.93
159,Srivardhan,IN,2021-11-05 02:17:40,18.0333,73.0167,78.13,74,98,4.12
160,Cayenne,GF,2021-11-05 02:13:03,4.9333,-52.3333,81.09,83,64,4.0
161,Kirakira,SB,2021-11-05 02:13:06,-10.4544,161.9205,83.73,74,57,7.92
162,Camabatela,AO,2021-11-05 02:17:40,-8.1881,15.375,61.65,97,100,1.32
163,Ust-Kan,RU,2021-11-05 02:17:40,50.9276,84.761,-3.82,82,36,3.78
164,Taicheng,CN,2021-11-05 02:12:56,38.731,113.228,50.31,50,28,3.51
165,Zhezkazgan,KZ,2021-11-05 02:17:40,47.8043,67.7144,14.94,47,0,6.13
166,Richards Bay,ZA,2021-11-05 02:17:41,-28.783,32.0377,68.95,82,28,11.43
167,Corumba,BR,2021-11-05 02:17:41,-19.0092,-57.6533,80.28,59,7,2.8
168,Santa Isabel Do Rio Negro,BR,2021-11-05 02:13:05,-0.4139,-65.0192,75.02,90,49,2.82
169,Udimskiy,RU,2021-11-05 02:17:41,61.1417,45.9144,41.97,91,100,9.75
170,Georgetown,MY,2021-11-05 02:13:10,5.4112,100.3354,82.33,84,20,5.75
171,Whitehorse,CA,2021-11-05 02:15:48,60.7161,-135.0538,25.57,85,75,4.0
172,Kahului,US,2021-11-05 02:14:28,20.8947,-156.47,84.22,76,40,27.63
